Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure_ID,Measure_desc,kid_Quantity,kid_Weight_grams,kid_Volume_mLs
F003496,16802,Fruit products and dishes,"Date, dried",74747,fruit,0.75,5.0,0
F003818,16504,Fruit products and dishes,"Feijoa, raw",74748,fruit,0.75,30.0,0
F003832,16802,Fruit products and dishes,"Fig, dried",74749,fruit,0.75,19.0,0
F003834,16503,Fruit products and dishes,"Fig, fresh, unpeeled, raw",74750,fruit,0.75,50.0,0
F004262,16303,Fruit products and dishes,"Grapefruit, peeled, raw",74751,fruit,0.75,258.0,0
F004286,16504,Fruit products and dishes,"Guava, Hawaiian, raw",74752,fruit,0.75,90.0,0
F004594,16504,Fruit products and dishes,"Jackfruit, peeled, raw",74753,fruit,0.75,805.0,0
F004816,16601,Fruit products and dishes,"Kiwifruit, green (hayward), peeled, raw",74754,fruit,0.75,78.0,0
F004815,16601,Fruit products and dishes,"Kiwifruit, gold, peeled, raw",74755,fruit,0.75,78.0,0
F005174,16302,Fruit products and dishes,"Lemon, peeled, raw",74756,fruit,0.75,99.0,0
F005199,16302,Fruit products and dishes,"Lime, peeled, raw",74757,fruit,0.75,49.0,0
F005244,16105,Fruit products and dishes,"Loquat, peeled, raw",74758,fruit,0.75,13.0,0
F005255,16504,Fruit products and dishes,"Lychee, peeled, raw",74759,fruit,0.75,10.0,0
F005293,16303,Fruit products and dishes,"Mandarin, peeled, raw",74760,fruit,0.75,75.0,0
F005299,16504,Fruit products and dishes,"Mango, peeled, raw",74761,fruit,0.75,294.0,0
F006021,16401,Fruit products and dishes,"Nectarine, yellow, unpeeled, raw",74762,fruit,0.75,151.0,0
F006277,16301,Fruit products and dishes,"Orange, peeled, raw",74763,fruit,0.75,131.0,0
