Public_Food_Key,Food_Survey_ID,Food_Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total_Fat,Alcohol,Total sugars,Added sugars,Calcium (Ca),Sodium (Na),Vitamin C,Vitamin E
F008065,23103,"Sauce, soy, commercial",162,162,71.5,5.4,0,0.9,1.7,1,16,6555,0,0
F008083,23104,"Sauce, tomato, commercial",437,426,69.7,1.3,0,0,23.7,21.5,13,870,0,1
F008085,23104,"Sauce, tomato, commercial, reduced salt",437,426,70.2,1.3,0,0,23.7,21.5,12,529,0,1
F002414,19401,"Cheese, cheddar, natural, regular fat",1663,1663,34,24.6,32.8,0,0.4,0,763,684,1,0.43
F002413,19402,"Cheese, cheddar, natural, reduced fat (approximately 25%)",1368,1368,41.7,28.6,23.4,0,0,0,800,550,0,0.4
F002412,19402,"Cheese, cheddar, natural, reduced fat (approximately 15%)",1109,1109,47.1,31.1,15.3,0,0,0,995,560,0,0.43
F002428,19406,"Cheese, cheddar, processed, regular fat",1254,1254,48.4,18.2,23.9,0,1.5,0,588,1420,0,0.6
F002425,19407,"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D",1054,1054,52.5,22.5,15.4,0,4.9,0,886,1171,2,0.35
F002444,19403,"Cheese, cream, plain",1420,1420,53.3,8.5,34.2,0,0.2,0,69,320,0,1.1
F004508,19501,"Ice cream, vanilla flavour, regular fat",788,788,61.4,3.7,10.6,0,18.4,13,93,48,0,0
F003488,19701,"Dairy or yoghurt dessert, chocolate, regular fat",533,522,72.8,5.1,3.7,0,15.7,10.9,120,59,0,0.06
F009694,19201,"Yoghurt, natural, regular fat (3% fat)",306,305,81.4,5.1,3.2,0,4.9,0,175,58,0,0
F009741,19205,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",401,400,77.3,4.7,3.1,0,11.6,7,159,60,0,0
F009741,19205,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",401,400,77.3,4.7,3.1,0,11.6,7,159,60,0,0
F009749,19205,"Yoghurt, vanilla flavoured, (2% fat)",409,407,76.4,5,1.9,0,13.5,7,170,52,0,0
F009749,19205,"Yoghurt, vanilla flavoured, (2% fat)",409,407,76.4,5,1.9,0,13.5,7,170,52,0,0
